iter	RMSE
0	0.8698006055
1	0.8581956424
2	0.8489411911
3	0.8395251311
4	0.8291070512
5	0.8206268443
6	0.813107703
7	0.8058467988
8	0.7997460347
9	0.7934844205
10	0.786881857
11	0.7804048884
12	0.7749414953
13	0.7694247564
14	0.7655624389
15	0.7611788366
16	0.7573468854
17	0.7536735852
18	0.7497266402
19	0.7463264165
20	0.7427620273
21	0.7401017438
22	0.737623874
23	0.7350032665
24	0.7324892779
25	0.7301323787
26	0.7276605833
27	0.7253178624
28	0.7225118296
29	0.7202716878
30	0.7187951909
31	0.7173185973
32	0.7153660283
33	0.713474695
34	0.7117907461
35	0.7100421489
36	0.7081687285
37	0.7067156181
38	0.7052013493
39	0.7038128979
40	0.7020978799
41	0.7006864238
42	0.6991936352
43	0.6978732339
44	0.6964548722
45	0.6954223698
46	0.6939375661
47	0.6927056304
48	0.6919225677
49	0.6912275495
50	0.6900272936
51	0.6891640423
52	0.6880072863
53	0.6868528962
54	0.686236598
55	0.6853820824
56	0.6842293478
57	0.6831285564
58	0.6819947003
59	0.6811930605
60	0.6803412644
61	0.6794528427
62	0.6786454946
63	0.6778199042
64	0.6773696913
65	0.6767558672
66	0.6758062366
67	0.6751880435
68	0.6744827689
69	0.6736603355
70	0.6731936852
71	0.6728117033
72	0.6722359108
73	0.6718931945
74	0.6706273477
75	0.6701186154
76	0.6697209571
77	0.6691058917
78	0.6680827019
79	0.6673519694
80	0.6668077973
81	0.6663747756
82	0.6658700257
83	0.6654728031
84	0.6649653047
85	0.6643721918
86	0.6638346118
87	0.662883187
88	0.6621082168
89	0.6617702589
90	0.6610136373
91	0.660327162
92	0.6598753143
93	0.659505026
94	0.6591419194
95	0.6587663154
96	0.6581123955
97	0.6578685732
98	0.6573216995
99	0.6565307243
100	0.6560578349
101	0.6559023729
102	0.6556659635
103	0.6553358732
104	0.6551539579
105	0.6549413037
106	0.6544161739
107	0.6542145772
108	0.6537382623
109	0.6531730023
110	0.6528481631
111	0.6523270633
112	0.6522074614
113	0.6517381733
114	0.6508467097
115	0.6506919871
116	0.6501490146
117	0.6493659745
118	0.6490694186
119	0.6488133498
120	0.648539192
121	0.648233972
122	0.6478794454
123	0.6472681567
124	0.6467160619
125	0.646381249
126	0.6457591983
127	0.6451356526
128	0.6447294248
129	0.6443720987
130	0.6441978761
131	0.6437141055
132	0.6434030248
133	0.6432099331
134	0.6426548177
135	0.6422109162
136	0.6419062599
137	0.6416106653
138	0.6410959916
139	0.640712824
140	0.6403137353
141	0.6400729683
142	0.6397376938
143	0.6392859188
144	0.6386023901
145	0.6380331202
146	0.6379386253
147	0.6376263381
148	0.6372120894
149	0.637015416
150	0.6368831969
151	0.6366218889
152	0.6362508456
153	0.6357918826
154	0.6351751886
155	0.6351067065
156	0.6348395432
157	0.634329032
158	0.6339611334
159	0.6334496211
160	0.6332162147
161	0.6330019507
