iter	Passed	Remaining
0	0	711
1	1	711
2	2	712
3	2	699
4	3	693
5	4	689
6	4	692
7	5	693
8	6	697
9	6	684
10	7	686
11	8	686
12	9	688
13	9	696
14	10	698
15	11	699
16	12	708
17	12	707
18	13	703
19	14	701
20	14	697
21	15	696
22	16	695
23	17	697
24	17	697
25	18	693
26	19	689
27	19	687
28	20	685
29	21	686
30	22	688
31	22	689
32	23	690
33	24	687
34	24	685
35	25	684
36	26	683
37	26	680
38	27	677
39	28	676
40	28	674
41	29	675
42	30	674
43	31	674
44	31	674
45	32	673
46	33	674
47	34	674
48	34	672
49	35	670
50	35	668
51	36	667
52	37	665
53	37	664
54	38	663
55	39	663
56	40	662
57	40	661
58	41	661
59	42	660
60	42	659
61	43	660
62	44	661
63	45	659
64	45	658
65	46	658
66	47	657
67	47	656
68	48	655
69	49	656
70	50	654
71	50	653
72	51	653
73	52	653
74	52	653
75	53	653
76	54	652
77	55	651
78	55	650
79	56	650
80	57	649
81	57	647
82	58	646
83	59	646
84	59	645
85	60	646
86	61	645
87	62	644
88	62	643
89	63	643
90	64	642
91	64	641
92	65	639
93	66	638
94	66	638
95	67	636
96	68	636
97	69	635
98	69	635
99	70	634
100	71	632
101	71	631
102	72	630
103	73	629
104	73	627
105	74	626
106	74	625
107	75	623
108	76	622
109	76	621
110	77	620
111	78	619
112	78	617
113	79	616
114	80	616
115	80	615
116	81	614
117	82	613
118	82	612
119	83	611
120	84	610
121	84	610
122	85	608
123	86	608
124	86	607
125	87	607
126	88	606
127	88	605
128	89	604
129	90	603
130	90	602
131	91	602
132	92	601
133	93	601
134	93	600
135	94	600
136	95	599
137	95	599
138	96	598
139	97	598
140	98	597
141	98	596
142	99	597
143	100	597
144	101	596
145	101	596
146	102	595
147	103	594
148	103	593
149	104	592
150	105	591
151	105	591
152	106	590
153	107	590
154	108	589
155	108	588
156	109	587
157	110	586
158	110	585
159	111	585
160	112	584
161	112	584
162	113	583
163	114	582
164	114	581
165	115	580
166	116	579
167	117	579
168	117	579
169	118	578
170	119	577
171	119	577
172	120	576
173	121	575
174	121	574
175	122	574
176	123	573
177	123	572
178	124	571
179	125	570
180	125	569
181	126	568
182	127	568
183	127	567
184	128	566
185	129	565
186	129	564
187	130	564
188	131	563
189	132	563
190	132	562
191	133	561
192	134	560
193	134	560
194	135	560
195	136	559
196	137	559
197	137	558
198	138	557
199	139	557
200	139	556
201	140	555
202	141	555
203	142	554
204	143	554
205	143	554
206	144	553
207	145	552
208	145	552
209	146	551
210	147	550
